City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,college,64.8569,-147.8028,-9.4,60,100,4.63,US,1712098215
218,san sebastian de la gomera,28.0916,-17.1133,20.2,72,0,2.57,ES,1712098708
219,arraial do cabo,-22.9661,-42.0278,23.98,88,0,1.54,BR,1712098548
220,paracuru,-3.41,-39.0306,26.3,86,94,1.8,BR,1712098709
221,waterford,42.7023,-83.4027,7.25,96,100,7.72,US,1712098710
222,spanish wells,26.323,-81.7957,28.35,66,20,6.17,US,1712098710
223,khon kaen,16.5,102.0833,26.53,50,29,1.94,TH,1712098711
224,leh,34.1667,77.5833,-9.31,82,97,0.66,IN,1712098442
225,karratha,-20.7377,116.8463,30.88,35,56,9.8,AU,1712098712
226,hawaiian paradise park,19.5933,-154.9731,25.73,78,75,6.17,US,1712098713
227,pula,44.8683,13.8481,9.31,87,0,0.0,HR,1712098714
228,newman,37.3138,-121.0208,25.14,40,0,1.34,US,1712098715
229,isangel,-19.55,169.2667,26.06,89,75,2.06,VU,1712098715
230,la'ie,21.6477,-157.9253,28.98,71,88,3.58,US,1712098716
231,srivardhan,18.0333,73.0167,24.58,73,98,2.64,IN,1712098717
232,saipan,15.1355,145.701,27.39,83,40,6.69,MP,1712098717
233,avarua,-21.2078,-159.775,29.03,65,75,4.63,CK,1712098718
234,kargasok,59.0556,80.8572,0.54,100,100,1.79,RU,1712098719
235,chichiriviche,10.9333,-68.2772,26.5,84,73,5.34,VE,1712098719
236,sao vicente,-23.9631,-46.3919,30.15,56,97,1.34,BR,1712098569
237,vila do maio,15.1333,-23.2167,22.44,78,10,8.26,CV,1712098721
238,moncion,19.4108,-71.1526,26.31,64,66,3.09,DO,1712098721
239,leeton,-34.5667,146.4,16.72,62,11,2.71,AU,1712098722
240,nova vicosa,-17.8919,-39.3719,25.72,84,91,2.09,BR,1712098723
241,callao,-12.0667,-77.15,24.16,64,0,6.69,PE,1712098171
242,lebu,-37.6167,-73.65,12.99,81,100,1.86,CL,1712098725
243,north manchester,41.0006,-85.7686,16.65,93,79,9.69,US,1712098391
244,berd,40.8815,45.3899,9.49,83,0,1.12,AM,1712098726
245,viqueque,-8.8673,126.3658,26.16,87,93,1.1,TL,1712098727
246,jihlava,49.3961,15.5912,6.86,78,6,8.01,CZ,1712098683
247,cide,41.8921,33.0044,16.04,59,94,3.06,TR,1712098728
248,phek,25.6667,94.5,9.55,80,2,0.87,IN,1712098729
249,calingasta,-31.3308,-69.4078,27.43,12,3,4.8,AR,1712098729
250,murzuq,25.9155,13.9184,23.31,15,0,3.92,LY,1712098730
251,pishin,30.5803,66.9961,12.43,42,41,1.42,PK,1712098731
252,chicoana,-25.1009,-65.5331,21.03,91,91,1.0,AR,1712098731
253,kirakira,-10.4544,161.9205,27.12,84,100,1.88,SB,1712098732
254,qoryooley,1.7878,44.53,27.63,76,17,2.35,SO,1712098733
255,yuzhno-kurilsk,44.0306,145.8556,1.35,74,5,2.84,RU,1712098733
256,san lorenzo de esmeraldas,1.2883,-78.8369,24.11,92,100,0.76,EC,1712098734
257,yellowknife,62.456,-114.3525,0.79,70,75,4.12,CA,1712098253
258,lorengau,-2.0226,147.2712,28.99,77,92,4.66,PG,1712098376
259,rio grande,-32.035,-52.0986,20.06,68,57,3.98,BR,1712098618
260,akureyri,65.6835,-18.0878,-12.04,85,0,2.57,IS,1712098346
261,igrim,63.1906,64.4162,1.59,89,99,4.22,RU,1712098737
262,lautoka,-17.6167,177.4667,30.92,62,75,0.0,FJ,1712098738
263,sabang,5.8933,95.3214,28.81,75,60,2.19,ID,1712098739
264,"kampung bukit tinggi, bentong",3.35,101.8167,24.96,96,71,1.07,MY,1712098739
265,tiszafured,47.6167,20.7667,9.99,72,72,5.02,HU,1712098740
266,sinabang,2.4803,96.3801,27.17,80,100,1.04,ID,1712098741
267,bac lieu,9.285,105.7244,26.71,72,94,3.14,VN,1712098008
268,nyurba,63.2842,118.3319,-10.16,97,99,2.76,RU,1712098742
269,port lincoln,-34.7333,135.8667,16.26,70,97,3.0,AU,1712098704
270,tanout,14.9709,8.8879,30.58,7,88,4.48,NE,1712098743
271,sabha,27.0377,14.4283,24.16,12,0,3.45,LY,1712098744
272,george town,5.4112,100.3354,28.96,83,20,1.54,MY,1712098523
273,odessa,46.4775,30.7326,11.12,61,81,6.47,UA,1712098745
274,katsuren-haebaru,26.3369,127.8719,25.43,85,100,7.2,JP,1712098746
